Latitude,Longitude,Time,Id
32.770810000000004,-96.81002000000001,200,route 1,Along route
32.7706,-96.80945000000001,201,route 1,Along route
32.77031,-96.80887000000001,202,route 1,Along route
32.76968,-96.80769000000001,203,route 1,Along route
32.76953,-96.80742000000001,204,route 1,Along route
32.76888,-96.80611,205,route 1,Along route
32.76878,-96.80585,206,route 1,Along route
32.76868,-96.80549,207,route 1,Along route
32.7686,-96.80492000000001,208,route 1,Along route
32.7686,-96.80487000000001,209,route 1,Along route
32.7686,-96.80459,210,route 1,Along route
32.76856,-96.80452000000001,211,route 1,Along route
32.768550000000005,-96.80432,212,route 1,Along route
32.768570000000004,-96.80373,213,route 1,Along route
32.76867,-96.80332000000001,214,route 1,Along route
32.76874,-96.80315,215,route 1,Along route
32.76883,-96.80291000000001,216,route 1,Along route
32.76897,-96.80268000000001,217,route 1,Along route
32.769200000000005,-96.80237000000001,218,route 1,Along route
32.76968,-96.80191,219,route 1,Along route
32.76982,-96.80174000000001,220,route 1,Along route
32.770030000000006,-96.80157000000001,221,route 1,Along route
32.77028,-96.80129000000001,222,route 1,Along route
32.771170000000005,-96.80016,223,route 1,Along route
32.771420000000006,-96.79987000000001,224,route 1,Along route
32.771890000000006,-96.79928000000001,225,route 1,Along route
32.77223,-96.79875000000001,226,route 1,Along route
32.772420000000004,-96.79838000000001,227,route 1,Along route
32.77272,-96.79768000000001,228,route 1,Along route
32.77277,-96.79744000000001,229,route 1,Along route
32.77288,-96.79701000000001,230,route 1,Along route
32.77288,-96.79668000000001,231,route 1,Along route
32.77284,-96.79641000000001,232,route 1,Along route
32.772800000000004,-96.79629000000001,233,route 1,Along route
32.77272,-96.79619000000001,234,route 1,Along route
32.77261,-96.79614000000001,235,route 1,Along route
32.772470000000006,-96.79611000000001,236,route 1,Along route
32.772270000000006,-96.79618,237,route 1,Along route
32.77212,-96.79634000000001,238,route 1,Along route
32.77206,-96.79646000000001,239,route 1,Along route
32.772000000000006,-96.79672000000001,240,route 1,Along route
32.77199,-96.79691000000001,241,route 1,Along route
32.77201,-96.79709000000001,242,route 1,Along route
32.772090000000006,-96.79731000000001,243,route 1,Along route
32.772180000000006,-96.79745000000001,244,route 1,Along route
32.772270000000006,-96.79752,245,route 1,Along route
32.77237,-96.79756,246,route 1,Along route
32.77246,-96.79757000000001,247,route 1,Along route
32.77255,-96.79755,248,route 1,Along route
32.77273,-96.79749000000001,249,route 1,Along route
32.77284,-96.79738,250,route 1,Along route
32.77304,-96.79710000000001,251,route 1,Along route
